Gene stable ID,NCBI gene (formerly Entrezgene) ID
ENSMUSG00000093868,108168668
ENSMUSG00000093868,108168670
ENSMUSG00000093868,118568459
ENSMUSG00000102350,
ENSMUSG00000058064,
ENSMUSG00000103977,
ENSMUSG00000089454,115486060
ENSMUSG00000043223,
ENSMUSG00002076444,
ENSMUSG00002076050,
ENSMUSG00000102643,
ENSMUSG00000063628,
ENSMUSG00000103064,
ENSMUSG00000024304,12558
ENSMUSG00000103372,
ENSMUSG00000102354,
ENSMUSG00000102906,100041033
ENSMUSG00000103813,
ENSMUSG00000104412,
ENSMUSG00000104321,
ENSMUSG00000103892,
ENSMUSG00000102977,
ENSMUSG00000102547,
ENSMUSG00000077223,115486070
ENSMUSG00000103675,
ENSMUSG00000033863,16601
ENSMUSG00000103842,
ENSMUSG00000103462,
ENSMUSG00000101467,
ENSMUSG00000080626,100316672
ENSMUSG00000101260,
ENSMUSG00000082608,
ENSMUSG00000101513,
ENSMUSG00000077305,115486057
ENSMUSG00000025075,226243
ENSMUSG00002076623,
ENSMUSG00000117491,
ENSMUSG00000048799,225523
ENSMUSG00000101809,
ENSMUSG00000099841,
ENSMUSG00000101971,
ENSMUSG00000101839,118568461
ENSMUSG00000102010,
ENSMUSG00000101743,
ENSMUSG00000101311,
ENSMUSG00000100803,
ENSMUSG00000100873,
ENSMUSG00000101692,
ENSMUSG00000101198,
ENSMUSG00000099955,
ENSMUSG00000099873,
ENSMUSG00000101920,
ENSMUSG00000099430,
ENSMUSG00000100099,118568462
ENSMUSG00000100495,
ENSMUSG00000100570,
ENSMUSG00000101863,
ENSMUSG00000099727,
ENSMUSG00000101753,
ENSMUSG00000099537,
ENSMUSG00000101669,
ENSMUSG00000099862,
ENSMUSG00000101908,108168538
ENSMUSG00000101192,
ENSMUSG00000101607,
ENSMUSG00000101418,
ENSMUSG00000099431,
ENSMUSG00000117439,
ENSMUSG00000100233,
ENSMUSG00000024943,226026
ENSMUSG00002076588,
ENSMUSG00000117636,
ENSMUSG00000100859,
ENSMUSG00002075071,
ENSMUSG00002076979,
ENSMUSG00000073563,70425
ENSMUSG00000099653,
ENSMUSG00000100875,
ENSMUSG00000100117,
ENSMUSG00000116552,102637634
ENSMUSG00000101305,
ENSMUSG00000091039,622935
ENSMUSG00000099650,
ENSMUSG00002076461,
ENSMUSG00000058368,170656
ENSMUSG00000101560,
ENSMUSG00000062433,16701
ENSMUSG00000065968,74482
ENSMUSG00000101954,
ENSMUSG00000099348,
ENSMUSG00000084576,115488747
ENSMUSG00000099380,
ENSMUSG00000059632,16703
ENSMUSG00000056706,71363
ENSMUSG00000069376,
ENSMUSG00000091212,16693
ENSMUSG00000101412,
ENSMUSG00000117769,
ENSMUSG00000116870,
ENSMUSG00000118307,
ENSMUSG00000116651,
ENSMUSG00000117825,
ENSMUSG00000118063,
ENSMUSG00000099880,
ENSMUSG00000059898,13507
ENSMUSG00000044117,67254
ENSMUSG00000101642,102635519
ENSMUSG00000101719,
ENSMUSG00000100896,
ENSMUSG00000099347,
ENSMUSG00000101379,
ENSMUSG00000100565,108168560
ENSMUSG00000100038,
ENSMUSG00000100415,
ENSMUSG00000082554,
ENSMUSG00000082277,
ENSMUSG00000083536,
ENSMUSG00000022820,68194
ENSMUSG00000022820,100041273
ENSMUSG00000022820,100042503
ENSMUSG00000101775,
ENSMUSG00000095192,
ENSMUSG00000116529,
ENSMUSG00000100311,
ENSMUSG00000094232,
ENSMUSG00000060657,223989
ENSMUSG00000099990,
ENSMUSG00000052713,269023
ENSMUSG00000101527,
ENSMUSG00000096698,
ENSMUSG00000099855,
ENSMUSG00000100928,
ENSMUSG00000101667,
ENSMUSG00000093918,100862365
ENSMUSG00000084521,
ENSMUSG00000104521,
ENSMUSG00000088227,
ENSMUSG00000099455,
ENSMUSG00000104455,
ENSMUSG00000094511,100862383
ENSMUSG00000103555,
ENSMUSG00000092702,
ENSMUSG00000098119,
ENSMUSG00000098007,
ENSMUSG00000118348,
ENSMUSG00002076978,
ENSMUSG00000098141,
ENSMUSG00002075198,
ENSMUSG00000088440,115486062
ENSMUSG00002075430,
ENSMUSG00000118137,
ENSMUSG00000101141,
ENSMUSG00000117688,
ENSMUSG00000093987,100862394
ENSMUSG00000118919,115489073
ENSMUSG00000001700,107022
ENSMUSG00000033207,71738
ENSMUSG00002076089,
ENSMUSG00000070074,723916
ENSMUSG00000100285,
ENSMUSG00000022816,14314
ENSMUSG00000095948,100862398
ENSMUSG00000119538,115488104
ENSMUSG00000065022,
ENSMUSG00000119368,115488091
ENSMUSG00000077881,100124461
ENSMUSG00000064545,115488052
ENSMUSG00000100960,
ENSMUSG00000064720,115488056
ENSMUSG00000099970,
ENSMUSG00000113283,
ENSMUSG00000118092,
ENSMUSG00000084487,115488058
ENSMUSG00000097973,
ENSMUSG00000117850,
ENSMUSG00000099660,
ENSMUSG00000033053,67483
ENSMUSG00000096520,100041505
ENSMUSG00000064726,115488049
ENSMUSG00000108763,102639802
ENSMUSG00000113855,
ENSMUSG00000084604,115488059
ENSMUSG00000113863,
ENSMUSG00002075418,
ENSMUSG00000088820,
ENSMUSG00000034158,320184
ENSMUSG00000113397,
ENSMUSG00000065498,723858
ENSMUSG00000117944,
ENSMUSG00000065477,723936
